layer	dore_id	dore_title	semantic_target	semantic_basis
STAGE4	001	The Creation of Light	Isaiah 60	LIGHT_GLORY
STAGE4	002	The Formation of Eve	Proverbs 31	WOMAN_HOUSEHOLD
STAGE4	003	Adam and Eve Driven Out of Eden	Lamentations 1	EXILE_LOSS
STAGE4	004	Cain and Abel Offering Their Sacrifices	Malachi 1	WORSHIP_OFFERING
STAGE4	005	The Death of Abel	Psalm 10	INNOCENT_BLOOD
STAGE4	006	The World Destroyed by Water	Nahum 1	JUDGMENT_WATERS
STAGE4	007	The Deluge	Psalm 29	WATERS_MAJESTY
STAGE4	008	The Dove Sent Forth from the Ark	Psalm 55	DOVE_REST
STAGE4	009	Noah Cursing Canaan	Proverbs 20	FAMILY_SHAME
STAGE4	010	The Confusion of Tongues	Zephaniah 3	LANGUAGE_PEOPLES
STAGE4	011	Abraham Journeying into the Land of Canaan	Hebrews 11	PILGRIMAGE_FAITH
STAGE4	012	Abraham and the Three Angels	Hebrews 13	HOSPITALITY_ANGELS
STAGE4	013	The Flight of Lot	Luke 17	ESCAPE_JUDGMENT
STAGE4	014	The Expulsion of Ishmael and His Mother	Psalm 27	ABANDONMENT
STAGE4	015	Hagar and Ishmael in the Wilderness	Psalm 63	WILDERNESS_THIRST
STAGE4	016	The Trial of Abraham's Faith	Romans 8	BELOVED_SON_GIFT
STAGE4	017	The Burial of Sarah	Ecclesiastes 12	DEATH_BURIAL
STAGE4	018	Eliezer and Rebekah	Proverbs 18	MARRIAGE_PROVIDENCE
STAGE4	019	The Meeting of Isaac and Rebekah	Song of Songs 3	BRIDEGROOM_MEETING
STAGE4	020	Isaac Blessing Jacob	Hebrews 12	BLESSING_INHERITANCE
STAGE4	021	Jacob's Dream	John 1	HEAVEN_OPENED
STAGE4	022	Jacob Keeping Laban's Flocks	Psalm 23	SHEPHERD
STAGE4	023	The Prayer of Jacob	Psalm 4	PRAYER_DISTRESS
STAGE4	024	Jacob Wrestling with the Angel	Psalm 42	STRUGGLE_WITH_GOD
STAGE4	025	The Meeting of Jacob and Esau	Matthew 5	RECONCILIATION
STAGE4	026	Joseph Sold by His Brethren	Psalm 105	JOSEPH_AFFLICTION
STAGE4	027	Joseph Interpreting Pharaoh's Dream	Daniel 2	DREAM_INTERPRETATION
STAGE4	028	Joseph Makes Himself Known to His Brethren	Luke 15	REUNION_FORGIVENESS
STAGE4	029	Jacob Goeth Into Egypt	Deuteronomy 26	DESCENT_EGYPT
STAGE4	030	The Child Moses on the Nile	Psalm 18	RESCUE_WATERS
STAGE4	031	The Finding of Moses	Psalm 68	ORPHAN_PROVIDENCE
STAGE4	032	Moses and Aaron Before Pharaoh	Psalm 105	SIGNS_EGYPT
STAGE4	033	The Murrain of Beasts	Psalm 78	PLAGUES
STAGE4	034	The Plague of Darkness	Joel 2	DARKNESS_JUDGMENT
STAGE4	035	The Firstborn Slain	Psalm 78	EGYPT_JUDGMENT
STAGE4	036	The Egyptians Urge Moses to Depart	Psalm 105	EXODUS_DEPARTURE
STAGE4	037	The Egyptians Drowned in the Red Sea	Psalm 106	SEA_DELIVERANCE
STAGE4	038	Moses Striking the Rock in Horeb	Psalm 114	ROCK_WATER
STAGE4	039	The Giving of the Law Upon Mt. Sinai	Psalm 68	SINAI_THEOPHANY
STAGE4	040	Moses Coming Down From Mt. Sinai	Ecclesiastes 8	RADIANT_FACE
STAGE4	041	Moses Breaking the Tablets of the Law	Jeremiah 31	BROKEN_NEW_COVENANT
STAGE4	042	Return of the Spies from the Land of Promise	Deuteronomy 1	LAND_REPORT
STAGE4	043	Death of Korah, Dathan, and Abiram	Psalm 106	REBELLION_JUDGMENT
STAGE4	044	The Brazen Serpent	Isaiah 45	LOOK_SAVED
STAGE4	045	The Angel Appearing to Balaam	Micah 6	BALAAM_MEMORY
STAGE4	046	The Children of Israel Crossing Jordan	Psalm 114	JORDAN
STAGE4	047	The Angel Appearing to Joshua	Daniel 10	HEAVENLY_WARRIOR
STAGE4	048	The Walls of Jericho Falling Down	Hebrews 11	FAITH_WALLS
STAGE4	049	Joshua Spares Rahab	Matthew 1	RAHAB_GENEALOGY
STAGE4	050	The Stoning of Achan	Joshua 22	COMMUNAL_GUILT
STAGE4	051	Joshua Committing the Town of Ai to the Flames	Deuteronomy 20	WAR_CITY
STAGE4	052	Destruction of the Army of the Amorites	Habakkuk 3	DIVINE_WARRIOR
STAGE4	053	Joshua Commanding the Sun to Stand Still	Habakkuk 3	SUN_MOON
STAGE4	054	Jael and Sisera	Judges 5	VICTORY_SONG
